versionid                           ,journeyid                           ,journeyname                                                                                                                                                                                             ,versionnumber,createddate            ,lastpublisheddate      ,modifieddate           ,journeystatus                                                                                       
D6EC56E9-CDB6-4A47-BFB6-06777C73291E,D6EC56E9-CDB6-4A47-BFB6-06777C73291E,promo_D6EC56E9-CDB6-4A47-BFB6-06777C73291E                                                                                                                                                              ,            1,2023-02-10 14:51:00.000,2023-02-10 15:29:00.000,2023-02-10 15:29:00.000,Running                                                                                             
B50CB745-67FA-4E0D-9AD3-06F4D350F7B9,B50CB745-67FA-4E0D-9AD3-06F4D350F7B9,promo_B50CB745-67FA-4E0D-9AD3-06F4D350F7B9                                                                                                                                                              ,            1,2023-02-03 12:44:00.000,2023-02-03 12:48:00.000,2023-02-03 12:48:00.000,Running                                                                                             
0E37001C-34D4-4578-B1F1-07A0A8950A45,0E37001C-34D4-4578-B1F1-07A0A8950A45,promo_0E37001C-34D4-4578-B1F1-07A0A8950A45                                                                                                                                                              ,            1,2023-01-20 13:26:00.000,2023-01-20 18:10:00.000,2023-01-20 18:10:00.000,Running                                                                                             
B4821BD5-F46F-4AC5-A63A-081A48BBE2F9,B4821BD5-F46F-4AC5-A63A-081A48BBE2F9,promo_B4821BD5-F46F-4AC5-A63A-081A48BBE2F9                                                                                                                                                              ,            1,2023-02-24 18:23:00.000,2023-02-24 18:26:00.000,2023-02-24 18:26:00.000,Running                                                                                             
00252362-BA36-40DE-8D51-086E6B0BA03F,00252362-BA36-40DE-8D51-086E6B0BA03F,promo_00252362-BA36-40DE-8D51-086E6B0BA03F                                                                                                                                                              ,            1,2022-10-19 06:42:00.000,2022-10-19 06:42:00.000,2022-11-11 10:47:00.000,Deleted                                                                                             
928966F9-71A1-4EA0-A5CF-089D93D90307,928966F9-71A1-4EA0-A5CF-089D93D90307,promo_928966F9-71A1-4EA0-A5CF-089D93D90307                                                                                                                                                              ,            1,2023-02-03 11:23:00.000,2023-02-03 11:24:00.000,2023-02-03 11:24:00.000,Running                                                                                             
58C1D305-88C1-4BBD-A005-08FE5238CD86,58C1D305-88C1-4BBD-A005-08FE5238CD86,promo_58C1D305-88C1-4BBD-A005-08FE5238CD86                                                                                                                                                              ,            1,2022-10-03 21:58:00.000,                   NULL,2022-10-03 21:58:00.000,Draft                                                                                               
49A2E6C4-EBF7-4788-BA79-09AD061D1FE6,49A2E6C4-EBF7-4788-BA79-09AD061D1FE6,promo_49A2E6C4-EBF7-4788-BA79-09AD061D1FE6                                                                                                                                                              ,            1,2022-08-29 12:15:00.000,                   NULL,2022-08-29 12:15:00.000,Draft                                                                                               
CFE5CBA7-666A-45BB-ABFB-0A64273A4EA5,CFE5CBA7-666A-45BB-ABFB-0A64273A4EA5,promo_CFE5CBA7-666A-45BB-ABFB-0A64273A4EA5                                                                                                                                                              ,            1,2023-01-11 12:09:00.000,2023-01-11 12:20:00.000,2023-01-11 12:20:00.000,Running                                                                                             
2B40861E-9C4F-41A8-8231-0BAD2CEBDC5F,2B40861E-9C4F-41A8-8231-0BAD2CEBDC5F,promo_2B40861E-9C4F-41A8-8231-0BAD2CEBDC5F                                                                                                                                                              ,            1,2023-01-06 16:10:00.000,2023-01-06 16:15:00.000,2023-01-06 16:15:00.000,Running                                                                                             
DC7B7CB2-D04F-43D9-97EC-0C3F6A75BBF8,DC7B7CB2-D04F-43D9-97EC-0C3F6A75BBF8,promo_DC7B7CB2-D04F-43D9-97EC-0C3F6A75BBF8                                                                                                                                                              ,            1,2022-08-22 15:51:00.000,2022-09-29 14:26:00.000,2022-09-29 14:26:00.000,Running                                                                                             
CE382F47-B6DD-4963-AF11-0D6F764FE927,CE382F47-B6DD-4963-AF11-0D6F764FE927,promo_CE382F47-B6DD-4963-AF11-0D6F764FE927                                                                                                                                                              ,            1,2023-01-06 14:46:00.000,2023-01-06 14:54:00.000,2023-01-06 14:54:00.000,Running                                                                                             
1B6751B9-139E-4ED1-8564-0E386A6F4386,1B6751B9-139E-4ED1-8564-0E386A6F4386,promo_1B6751B9-139E-4ED1-8564-0E386A6F4386                                                                                                                                                              ,            1,2022-12-08 17:52:00.000,2022-12-08 18:39:00.000,2022-12-08 18:39:00.000,Running                                                                                             
B1C5416E-D619-4A29-A266-0E66D9C96BCE,B1C5416E-D619-4A29-A266-0E66D9C96BCE,promo_B1C5416E-D619-4A29-A266-0E66D9C96BCE                                                                                                                                                              ,            1,2023-01-13 12:41:00.000,2023-01-13 12:44:00.000,2023-01-13 12:44:00.000,Running                                                                                             
1CAE99A1-0AFD-4BBA-9943-0FB42AB066F1,1CAE99A1-0AFD-4BBA-9943-0FB42AB066F1,promo_1CAE99A1-0AFD-4BBA-9943-0FB42AB066F1                                                                                                                                                              ,            1,2022-08-29 12:05:00.000,                   NULL,2022-08-29 12:05:00.000,Draft                                                                                               
A0A9D6EB-8FE4-4AFA-BC1F-0FD793588863,A0A9D6EB-8FE4-4AFA-BC1F-0FD793588863,promo_A0A9D6EB-8FE4-4AFA-BC1F-0FD793588863                                                                                                                                                              ,            1,2023-02-03 15:19:00.000,2023-02-03 15:28:00.000,2023-02-03 15:28:00.000,Running                                                                                             
70494992-7E2F-4652-954E-0FEC659644DB,5ACE5ACE-B6EF-4C9C-BDE8-6CBB778851CE,promo_5ACE5ACE-B6EF-4C9C-BDE8-6CBB778851CE                                                                                                                                                              ,            2,2022-12-22 14:17:00.000,2022-12-22 14:17:00.000,2022-12-27 09:26:00.000,Finishing                                                                                           
B0CD4856-C8F9-4009-BD89-10B9F2AF2FF9,B0CD4856-C8F9-4009-BD89-10B9F2AF2FF9,promo_B0CD4856-C8F9-4009-BD89-10B9F2AF2FF9                                                                                                                                                              ,            1,2022-11-11 10:48:00.000,2022-11-11 10:49:00.000,2022-11-11 10:57:00.000,Stopped                                                                                             
EDBE97EC-8DB2-41E9-AC69-11484EAA1522,EDBE97EC-8DB2-41E9-AC69-11484EAA1522,promo_EDBE97EC-8DB2-41E9-AC69-11484EAA1522                                                                                                                                                              ,            1,2023-02-10 15:48:00.000,2023-02-10 17:53:00.000,2023-02-10 17:53:00.000,Running                                                                                             
B618E17D-5451-47C1-B4EE-142FAFF38E5A,B618E17D-5451-47C1-B4EE-142FAFF38E5A,promo_B618E17D-5451-47C1-B4EE-142FAFF38E5A                                                                                                                                                              ,            1,2023-01-17 17:58:00.000,2023-01-17 18:07:00.000,2023-01-17 18:07:00.000,Running                                                                                             
6A0642D7-976C-4B72-A69D-1446EFA0990D,00252362-BA36-40DE-8D51-086E6B0BA03F,promo_00252362-BA36-40DE-8D51-086E6B0BA03F                                                                                                                                                              ,            8,2022-11-11 10:23:00.000,2022-11-11 10:38:00.000,2022-11-11 10:47:00.000,Deleted                                                                                             
ACB91F1A-761D-4039-B148-144714B76A68,ACB91F1A-761D-4039-B148-144714B76A68,promo_ACB91F1A-761D-4039-B148-144714B76A68                                                                                                                                                              ,            1,2023-02-02 14:34:00.000,2023-02-02 17:55:00.000,2023-02-02 17:55:00.000,Running                                                                                             
2949C942-223D-4D7E-8389-1499BE2BEE94,2949C942-223D-4D7E-8389-1499BE2BEE94,promo_2949C942-223D-4D7E-8389-1499BE2BEE94                                                                                                                                                              ,            1,2022-12-16 12:26:00.000,2022-12-16 12:30:00.000,2022-12-16 12:30:00.000,Running                                                                                             
B476023B-2ECA-4C1E-9C61-14ED97B86708,B476023B-2ECA-4C1E-9C61-14ED97B86708,promo_B476023B-2ECA-4C1E-9C61-14ED97B86708                                                                                                                                                              ,            1,2022-12-22 18:35:00.000,2022-12-22 18:48:00.000,2022-12-22 18:48:00.000,Running                                                                                             
D69D5E05-6441-44F0-933E-154A29CF9957,D69D5E05-6441-44F0-933E-154A29CF9957,promo_D69D5E05-6441-44F0-933E-154A29CF9957                                                                                                                                                              ,            1,2023-01-20 14:42:00.000,2023-01-20 14:58:00.000,2023-01-20 14:58:00.000,Running                                                                                             
C320429F-D3AD-40FF-B18F-164A8CDAC3EE,AB72816D-4902-49CF-A76A-63863212D016,promo_AB72816D-4902-49CF-A76A-63863212D016                                                                                                                                                              ,            8,2023-01-27 08:41:00.000,                   NULL,2023-01-30 08:35:00.000,Deleted                                                                                             
F84D71BB-D43E-4FA3-B07A-16B2669F7F9F,F84D71BB-D43E-4FA3-B07A-16B2669F7F9F,promo_F84D71BB-D43E-4FA3-B07A-16B2669F7F9F                                                                                                                                                              ,            1,2022-11-09 14:25:00.000,2022-11-09 14:26:00.000,2022-11-11 08:23:00.000,Stopped                                                                                             
5C5D2F07-3ABF-49A9-B5C0-16DE276F819C,5C5D2F07-3ABF-49A9-B5C0-16DE276F819C,promo_5C5D2F07-3ABF-49A9-B5C0-16DE276F819C                                                                                                                                                              ,            1,2023-01-12 15:02:00.000,2023-01-12 15:06:00.000,2023-01-12 15:06:00.000,Running                                                                                             
213BEC44-435C-4E24-9056-1716B196C058,213BEC44-435C-4E24-9056-1716B196C058,promo_213BEC44-435C-4E24-9056-1716B196C058                                                                                                                                                              ,            1,2022-08-29 11:57:00.000,                   NULL,2022-08-29 11:57:00.000,Draft                                                                                               
2A9F22D8-D96F-41A0-88F5-173553156412,2A9F22D8-D96F-41A0-88F5-173553156412,promo_2A9F22D8-D96F-41A0-88F5-173553156412                                                                                                                                                              ,            1,2023-02-14 13:54:00.000,                   NULL,2023-02-14 13:57:00.000,Draft                                                                                               
788764F5-F314-4613-BF4A-1858A991A421,788764F5-F314-4613-BF4A-1858A991A421,promo_788764F5-F314-4613-BF4A-1858A991A421                                                                                                                                                              ,            1,2023-01-19 15:55:00.000,2023-01-19 15:56:00.000,2023-01-19 15:56:00.000,Running                                                                                             
EDCCB0DF-27CA-41C4-98E4-18B45B46F537,CB6DCAED-F0AE-41E2-9BBB-AC9037651007,promo_CB6DCAED-F0AE-41E2-9BBB-AC9037651007                                                                                                                                                              ,            3,2023-01-11 13:05:00.000,2023-01-11 13:28:00.000,2023-01-11 13:28:00.000,Running                                                                                             
CEF9F63C-F4B3-479D-B7EB-1919DBB45150,00252362-BA36-40DE-8D51-086E6B0BA03F,promo_00252362-BA36-40DE-8D51-086E6B0BA03F                                                                                                                                                              ,            5,2022-11-11 09:56:00.000,2022-11-11 09:58:00.000,2022-11-11 10:47:00.000,Deleted                                                                                             
E3B667BE-AEC9-404A-8781-1944D265ACDC,E3B667BE-AEC9-404A-8781-1944D265ACDC,promo_E3B667BE-AEC9-404A-8781-1944D265ACDC                                                                                                                                                              ,            1,2022-08-29 12:02:00.000,                   NULL,2022-08-29 12:02:00.000,Draft                                                                                               
7347FFC6-ACB9-4A3A-8C8F-19F83E67A6BA,7347FFC6-ACB9-4A3A-8C8F-19F83E67A6BA,promo_7347FFC6-ACB9-4A3A-8C8F-19F83E67A6BA                                                                                                                                                              ,            1,2022-08-29 11:59:00.000,                   NULL,2022-08-29 11:59:00.000,Draft                                                                                               
2C093857-5CD2-4FC9-B34F-1BD40483F6FD,2C093857-5CD2-4FC9-B34F-1BD40483F6FD,promo_2C093857-5CD2-4FC9-B34F-1BD40483F6FD                                                                                                                                                              ,            1,2023-01-17 18:14:00.000,2023-01-17 18:16:00.000,2023-01-17 18:16:00.000,Running                                                                                             
FA40A8C1-A5D5-4235-AF02-1C6FC91F0541,FA40A8C1-A5D5-4235-AF02-1C6FC91F0541,promo_FA40A8C1-A5D5-4235-AF02-1C6FC91F0541                                                                                                                                                              ,            1,2022-08-24 13:15:00.000,2022-09-29 14:29:00.000,2022-09-30 07:30:00.000,Finishing                                                                                           
3D536BDB-E436-4294-907D-1C94597F4ECF,3D536BDB-E436-4294-907D-1C94597F4ECF,promo_3D536BDB-E436-4294-907D-1C94597F4ECF                                                                                                                                                              ,            1,2023-01-13 12:27:00.000,2023-01-13 12:29:00.000,2023-01-13 12:29:00.000,Running                                                                                             
314B5F5C-030E-4EE9-AB1C-1DA87A9C23D9,00252362-BA36-40DE-8D51-086E6B0BA03F,promo_00252362-BA36-40DE-8D51-086E6B0BA03F                                                                                                                                                              ,            3,2022-11-11 08:24:00.000,2022-11-11 08:26:00.000,2022-11-11 10:47:00.000,Deleted                                                                                             
21D74956-882A-41B3-A3B0-1E489CB69052,21D74956-882A-41B3-A3B0-1E489CB69052,promo_21D74956-882A-41B3-A3B0-1E489CB69052                                                                                                                                                              ,            1,2022-10-03 21:44:00.000,2022-10-12 23:27:00.000,2022-10-12 23:27:00.000,Running                                                                                             
4CA5BE86-28ED-43D1-8C9C-207853BC815D,CC9BB94B-B218-4A9F-9890-52A158CF12C3,promo_CC9BB94B-B218-4A9F-9890-52A158CF12C3                                                                                                                                                              ,            7,2023-01-11 14:12:00.000,2023-01-11 14:16:00.000,2023-01-11 14:26:00.000,Stopped                                                                                             
D2558156-0EBD-40CE-838A-208292807DDC,AB72816D-4902-49CF-A76A-63863212D016,promo_AB72816D-4902-49CF-A76A-63863212D016                                                                                                                                                              ,            3,2023-01-25 11:45:00.000,2023-01-25 11:51:00.000,2023-01-30 08:35:00.000,Deleted                                                                                             
3991FA14-D738-4874-B7F5-219F15D2DF78,3991FA14-D738-4874-B7F5-219F15D2DF78,promo_3991FA14-D738-4874-B7F5-219F15D2DF78                                                                                                                                                              ,            1,2022-12-15 14:37:00.000,2022-12-15 14:38:00.000,2022-12-15 15:12:00.000,Finishing                                                                                           
1A2D03ED-9456-4E07-A052-235B9DE0C5EE,1A2D03ED-9456-4E07-A052-235B9DE0C5EE,promo_1A2D03ED-9456-4E07-A052-235B9DE0C5EE                                                                                                                                                              ,            1,2022-12-09 12:06:00.000,2022-12-09 12:08:00.000,2022-12-09 12:08:00.000,Running                                                                                             
CF7FBE3B-3CCF-49F3-BE74-241B7970C5D7,CF7FBE3B-3CCF-49F3-BE74-241B7970C5D7,promo_CF7FBE3B-3CCF-49F3-BE74-241B7970C5D7                                                                                                                                                              ,            1,2023-02-01 16:19:00.000,2023-02-01 17:08:00.000,2023-02-01 17:08:00.000,Running                                                                                             
48AA3BB6-0100-4CED-9B55-24ED9EDF6D41,48AA3BB6-0100-4CED-9B55-24ED9EDF6D41,promo_48AA3BB6-0100-4CED-9B55-24ED9EDF6D41                                                                                                                                                              ,            1,2023-02-17 16:02:00.000,2023-02-17 17:52:00.000,2023-02-23 17:41:00.000,Stopped                                                                                             
65B73FDB-FB16-44F4-9216-26F134FA00AC,88D8B183-AA30-49AF-A30E-52B28B0F70EB,promo_88D8B183-AA30-49AF-A30E-52B28B0F70EB                                                                                                                                                              ,            3,2022-10-14 12:37:00.000,2022-10-14 12:37:00.000,2023-01-11 09:42:00.000,Finishing                                                                                           
01AD1184-BB83-4775-B112-28F6B04EF8EE,01AD1184-BB83-4775-B112-28F6B04EF8EE,promo_01AD1184-BB83-4775-B112-28F6B04EF8EE                                                                                                                                                              ,            1,2023-02-17 15:37:00.000,2023-02-17 17:51:00.000,2023-02-17 17:51:00.000,Running                                                                                             
4E240E19-0370-458C-8F10-2A3544B1FCA8,40505804-88F2-4426-B46D-A910782EBDDB,promo_40505804-88F2-4426-B46D-A910782EBDDB                                                                                                                                                              ,            4,2023-01-10 14:43:00.000,2023-01-10 14:44:00.000,2023-01-10 14:55:00.000,Stopped                                                                                             
25BEFFBA-E58F-4A03-9034-2B63ADBA26F5,25BEFFBA-E58F-4A03-9034-2B63ADBA26F5,promo_25BEFFBA-E58F-4A03-9034-2B63ADBA26F5                                                                                                                                                              ,            1,2022-12-09 13:00:00.000,2022-12-09 13:04:00.000,2022-12-09 13:04:00.000,Running                                                                                             
DF947AB0-BACF-4AB8-B2C6-2BF626FAFB4E,DF947AB0-BACF-4AB8-B2C6-2BF626FAFB4E,promo_DF947AB0-BACF-4AB8-B2C6-2BF626FAFB4E                                                                                                                                                              ,            1,2023-01-19 11:05:00.000,2023-01-19 11:19:00.000,2023-01-19 11:19:00.000,Running                                                                                             
0AF2ED2E-AE13-4348-A200-2C1139AE3EBE,C6004676-1275-4798-AA4A-D2F45513FDE5,promo_C6004676-1275-4798-AA4A-D2F45513FDE5                                                                                                                                                              ,            3,2022-10-11 13:45:00.000,2022-10-11 14:24:00.000,2022-10-13 09:39:00.000,Stopped                                                                                             
27C0D80E-A5D5-4E8D-8AC0-2C65CA640D86,88D8B183-AA30-49AF-A30E-52B28B0F70EB,promo_88D8B183-AA30-49AF-A30E-52B28B0F70EB                                                                                                                                                              ,            2,2022-10-14 11:39:00.000,2022-10-14 11:50:00.000,2022-10-14 12:37:00.000,Finishing                                                                                           
D992F092-7220-4388-B732-2DDD69253D19,430080BB-A95C-4F7F-B031-58D3F2A2FF0E,promo_430080BB-A95C-4F7F-B031-58D3F2A2FF0E                                                                                                                                                              ,            6,2022-11-17 09:28:00.000,2022-11-17 09:38:00.000,2022-11-17 09:55:00.000,Finishing                                                                                           
716D95E5-C81B-4E55-8824-2E9CE7201C6F,FA40A8C1-A5D5-4235-AF02-1C6FC91F0541,promo_FA40A8C1-A5D5-4235-AF02-1C6FC91F0541                                                                                                                                                              ,            3,2022-10-03 14:41:00.000,2022-10-03 14:43:00.000,2022-10-03 14:43:00.000,Running                                                                                             
D2D4549F-C479-4FE3-A1C2-2F1681103C22,D2D4549F-C479-4FE3-A1C2-2F1681103C22,promo_D2D4549F-C479-4FE3-A1C2-2F1681103C22                                                                                                                                                              ,            1,2022-10-19 07:04:00.000,2022-10-19 07:04:00.000,2022-10-19 08:11:00.000,Stopped                                                                                             
79F6E1F8-1585-402A-9C5D-2F441F3D305D,79F6E1F8-1585-402A-9C5D-2F441F3D305D,promo_79F6E1F8-1585-402A-9C5D-2F441F3D305D                                                                                                                                                              ,            1,2023-01-20 12:44:00.000,2023-01-20 13:16:00.000,2023-01-20 13:16:00.000,Running                                                                                             
4F3095DD-834C-4AAC-B0A2-2FAA9FCEC368,4F3095DD-834C-4AAC-B0A2-2FAA9FCEC368,promo_4F3095DD-834C-4AAC-B0A2-2FAA9FCEC368                                                                                                                                                              ,            1,2023-01-24 14:01:00.000,                   NULL,2023-01-24 14:15:00.000,Draft                                                                                               
4243E571-C2C7-4928-B053-2FD8E175FC38,4243E571-C2C7-4928-B053-2FD8E175FC38,promo_4243E571-C2C7-4928-B053-2FD8E175FC38                                                                                                                                                              ,            1,2023-02-28 08:06:00.000,2023-02-28 12:18:00.000,2023-02-28 12:18:00.000,Running                                                                                             
791C16B0-A016-4CFB-8149-30041355DC46,791C16B0-A016-4CFB-8149-30041355DC46,promo_791C16B0-A016-4CFB-8149-30041355DC46                                                                                                                                                              ,            1,2022-12-29 15:45:00.000,2022-12-29 15:59:00.000,2022-12-29 15:59:00.000,Running                                                                                             
EDBA1615-802E-4336-89DB-315CCCD5433B,5326383D-0CBF-4517-BA0F-36B8F30F337B,promo_5326383D-0CBF-4517-BA0F-36B8F30F337B                                                                                                                                                              ,            7,2023-01-06 20:56:00.000,2023-01-06 20:56:00.000,2023-01-06 21:08:00.000,Finishing                                                                                           
91468F6C-8719-47A3-871F-3210085314F4,D2D4549F-C479-4FE3-A1C2-2F1681103C22,promo_D2D4549F-C479-4FE3-A1C2-2F1681103C22                                                                                                                                                              ,            2,2022-10-19 08:11:00.000,2022-10-19 08:11:00.000,2022-10-26 09:21:00.000,Stopped                                                                                             
8BAC0288-AE24-452D-B6E1-32637110E8E5,8BAC0288-AE24-452D-B6E1-32637110E8E5,promo_8BAC0288-AE24-452D-B6E1-32637110E8E5                                                                                                                                                              ,            1,2022-10-03 08:42:00.000,                   NULL,2022-10-03 13:21:00.000,Draft                                                                                               
D30876DB-E175-4AE8-897E-32E79CE6AE6A,D30876DB-E175-4AE8-897E-32E79CE6AE6A,promo_D30876DB-E175-4AE8-897E-32E79CE6AE6A                                                                                                                                                              ,            1,2022-08-22 15:51:00.000,2022-10-03 14:44:00.000,2022-10-10 06:44:00.000,Finishing                                                                                           
2AE34FA9-1C1B-49DE-AE9D-337B55EBEEFE,2AE34FA9-1C1B-49DE-AE9D-337B55EBEEFE,promo_2AE34FA9-1C1B-49DE-AE9D-337B55EBEEFE                                                                                                                                                              ,            1,2022-12-06 10:03:00.000,2022-12-06 10:09:00.000,2022-12-06 10:09:00.000,Running                                                                                             
AEF073FA-1539-41EA-8528-34167C3E3E7F,AEF073FA-1539-41EA-8528-34167C3E3E7F,promo_AEF073FA-1539-41EA-8528-34167C3E3E7F                                                                                                                                                              ,            1,2022-08-22 15:51:00.000,2022-09-29 14:09:00.000,2022-09-29 14:24:00.000,Stopped                                                                                             
5FA98898-1590-426A-9993-3445F5619445,5FA98898-1590-426A-9993-3445F5619445,promo_5FA98898-1590-426A-9993-3445F5619445                                                                                                                                                              ,            1,2023-02-02 18:18:00.000,2023-02-02 18:20:00.000,2023-02-02 18:20:00.000,Running                                                                                             
5326383D-0CBF-4517-BA0F-36B8F30F337B,5326383D-0CBF-4517-BA0F-36B8F30F337B,promo_5326383D-0CBF-4517-BA0F-36B8F30F337B                                                                                                                                                              ,            1,2023-01-06 20:20:00.000,2023-01-06 20:21:00.000,2023-01-06 20:26:00.000,Finishing                                                                                           
C68D208B-A1E2-4A66-9D3C-36F31EB66853,C68D208B-A1E2-4A66-9D3C-36F31EB66853,promo_C68D208B-A1E2-4A66-9D3C-36F31EB66853                                                                                                                                                              ,            1,2023-01-20 15:56:00.000,2023-01-20 15:58:00.000,2023-01-20 15:58:00.000,Running                                                                                             
15D42267-8111-4D37-BC9A-3717B139251C,15D42267-8111-4D37-BC9A-3717B139251C,promo_15D42267-8111-4D37-BC9A-3717B139251C                                                                                                                                                              ,            1,2023-01-31 20:32:00.000,2023-01-31 20:34:00.000,2023-01-31 20:34:00.000,Running                                                                                             
9FB67409-C6CE-4791-BB27-3854330C3F36,9FB67409-C6CE-4791-BB27-3854330C3F36,promo_9FB67409-C6CE-4791-BB27-3854330C3F36                                                                                                                                                              ,            1,2022-12-13 16:36:00.000,2022-12-13 16:41:00.000,2022-12-13 16:41:00.000,Running                                                                                             
6B6C4A21-6A4A-4B51-B088-396FD6B97F5B,6B6C4A21-6A4A-4B51-B088-396FD6B97F5B,promo_6B6C4A21-6A4A-4B51-B088-396FD6B97F5B                                                                                                                                                              ,            1,2023-02-16 17:20:00.000,2023-02-16 17:21:00.000,2023-02-16 17:21:00.000,Running                                                                                             
498F4985-8C8D-4028-9065-398C74A7D4DB,498F4985-8C8D-4028-9065-398C74A7D4DB,promo_498F4985-8C8D-4028-9065-398C74A7D4DB                                                                                                                                                              ,            1,2022-12-23 15:10:00.000,2022-12-23 15:25:00.000,2022-12-23 15:25:00.000,Running                                                                                             
E6BA78C6-0758-41F3-B539-3A1548CFC731,E6BA78C6-0758-41F3-B539-3A1548CFC731,promo_E6BA78C6-0758-41F3-B539-3A1548CFC731                                                                                                                                                              ,            1,2022-11-01 08:44:00.000,2022-12-16 10:14:00.000,2022-12-16 10:14:00.000,Running                                                                                             
111BD384-06D1-44B8-97CE-3CB1FEFB33CC,111BD384-06D1-44B8-97CE-3CB1FEFB33CC,promo_111BD384-06D1-44B8-97CE-3CB1FEFB33CC                                                                                                                                                              ,            1,2023-01-23 15:57:00.000,2023-01-23 16:07:00.000,2023-01-23 16:07:00.000,Running                                                                                             
C34B8480-2981-4EA5-B18F-3CEED33B9AA2,CC9BB94B-B218-4A9F-9890-52A158CF12C3,promo_CC9BB94B-B218-4A9F-9890-52A158CF12C3                                                                                                                                                              ,            2,2023-01-11 13:15:00.000,2023-01-11 13:22:00.000,2023-01-11 13:31:00.000,Stopped                                                                                             
D0D4DD09-9EDF-4A82-9A89-3DA0F8E14EE9,D0D4DD09-9EDF-4A82-9A89-3DA0F8E14EE9,promo_D0D4DD09-9EDF-4A82-9A89-3DA0F8E14EE9                                                                                                                                                              ,            1,2022-12-27 17:55:00.000,2022-12-27 17:59:00.000,2022-12-27 17:59:00.000,Running                                                                                             
2E2A7910-9BAC-4ECC-AE09-3E82C6E50E6F,2E2A7910-9BAC-4ECC-AE09-3E82C6E50E6F,promo_2E2A7910-9BAC-4ECC-AE09-3E82C6E50E6F                                                                                                                                                              ,            1,2022-08-29 12:00:00.000,                   NULL,2022-08-29 12:00:00.000,Draft                                                                                               
