jobid      ,emailid    ,accountid  ,accountuserid,fromname                                                                                                                          ,fromemail                                                                                           ,schedtime              ,pickuptime             ,deliveredtime          ,eventid                                           ,ismultipart,jobtype                                           ,jobstatus                                         ,modifiedby ,modifieddate           ,emailname                                                                                                                                                                                               ,emailsubject                                                                                                                                                                                            ,iswrapped,testemailaddr                                                                                                                   ,category                                                                                            ,bccemail                                                                                            ,originalschedtime      ,createddate            ,characterset                  ,ipaddress                                         ,salesforcetotalsubscribercount,salesforceerrorsubscribercount,sendtype                                                                                                                        ,dynamicemailsubject                                                                                                                                                                                                                                       ,suppresstracking,sendclassificationtype          ,sendclassification                  ,resolvelinkswithcurrentdata,emailsenddefinition                 ,deduplicatebyemail,triggerersenddefinitionobjectid     ,triggeredsendcustomerkey            
      17396,       9325,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 07:30:00.000,                   NULL,2022-09-30 07:31:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-09-30 07:30:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,282a3392-186a-4ec9-80d7-b38587b2c2b4_V2                                                             ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 07:30:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,7FDF2802-C440-ED11-B841-48DF37E41D3A,3009F65D-4DA0-49EB-A464-AF249CEC6005
      17382,       2626,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 07:29:00.000,                   NULL,2022-09-30 07:30:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-09-30 07:29:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,8f71cf43-2336-4c66-91b6-d5d043cd711e_V2                                                             ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 07:29:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,DA524ED1-C340-ED11-B841-48DF37E41D3A,300C43B9-9A97-472E-83C0-4CB044F81A0C
      17383,       2624,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 07:29:00.000,                   NULL,2022-09-30 07:30:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-09-30 07:29:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,8f71cf43-2336-4c66-91b6-d5d043cd711e_V2                                                             ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 07:29:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,F9524ED1-C340-ED11-B841-48DF37E41D3A,B57AF958-D501-4BF6-86DB-524E4F7B34B6
      17384,       2623,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 07:29:00.000,                   NULL,2022-09-30 07:30:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-09-30 07:29:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,8f71cf43-2336-4c66-91b6-d5d043cd711e_V2                                                             ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 07:29:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,17534ED1-C340-ED11-B841-48DF37E41D3A,F1AC578E-3EC0-44F0-B42C-D5294124BFEE
      17385,       2624,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 07:29:00.000,                   NULL,2022-09-30 07:30:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-09-30 07:29:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,8f71cf43-2336-4c66-91b6-d5d043cd711e_V2                                                             ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 07:29:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,2C534ED1-C340-ED11-B841-48DF37E41D3A,AE87F166-D4D3-45AF-ADFE-FA92FD93EE29
      17386,       2625,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 07:29:00.000,                   NULL,2022-09-30 07:30:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-09-30 07:29:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,8f71cf43-2336-4c66-91b6-d5d043cd711e_V2                                                             ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 07:29:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,37534ED1-C340-ED11-B841-48DF37E41D3A,B21ED4DA-E5E3-41D4-A434-FD03253DB4DF
      17031,       9322,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 07:00:00.000,2022-09-28 08:34:00.000,2022-09-30 07:01:00.000,NULL                                              ,          0,NULL                                              ,New                                               ,          0,2022-09-30 07:00:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Triggered Sends                                                                                     ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-28 08:32:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,CD06E440-07F3-EC11-B83A-48DF37E41F4C,066CECA9-B87C-401B-87D1-9F4CE46B4852
      17032,       9323,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 07:00:00.000,2022-09-28 08:34:00.000,2022-09-30 07:01:00.000,NULL                                              ,          0,NULL                                              ,New                                               ,          0,2022-09-30 07:00:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Triggered Sends                                                                                     ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-28 08:32:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               0,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,5D385D21-07F3-EC11-B83A-48DF37E41F4C,B4DB4488-7E3C-4884-9C79-0F6D5F10880C
      17377,       9322,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 06:57:00.000,2022-09-30 06:58:00.000,2022-09-30 06:58:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-09-30 06:57:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        1,test@bh.exacttarget.com                                                                                                         ,Test Send Emails                                                                                    ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 06:57:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               1,Default Commercial              ,Default Commercial                  ,                          0,NULL                                ,                 0,NULL                                ,A73283F2-2DF5-43DF-BEA1-9E51FFC0483A
      17481,       2652,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 16:20:00.000,                   NULL,2022-09-30 16:21:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-09-30 16:20:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        0,test@bh.exacttarget.com                                                                                                         ,Test Send Emails                                                                                    ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 16:20:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               1,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,6903AFF3-0D41-ED11-B841-48DF37E41D3A,438EABF8-DC55-4725-AAF7-0118296FF667
      17482,       2647,  555555555,    444444444,Devs United                                                                                                                       ,info@bh.exacttarget.com                                                                             ,2022-09-30 16:20:00.000,                   NULL,2022-09-30 16:21:00.000,NULL                                              ,          1,NULL                                              ,New                                               ,          0,2022-09-30 16:20:00.000,Lorem Ipsum                                                                                                                                                                                             ,Lorem Ipsum                                                                                                                                                                                             ,        0,test@bh.exacttarget.com                                                                                                         ,Test Send Emails                                                                                    ,bcc@bh.exacttarget.com                                                                              ,                   NULL,2022-09-30 16:20:00.000,Unicode - UTF-8               ,127.0.0.1                                         ,                             0,                             0,ExactTargetSend                                                                                                                 ,%%=v(@subject)=%%                                                                                                                                                                                                                                         ,               1,Default Transactional           ,Default Transactional               ,                          0,NULL                                ,                 0,6A03AFF3-0D41-ED11-B841-48DF37E41D3A,62D75033-9D12-4AC9-99A1-FEDF6FACF7A2
