versionid                           ,activityid                          ,activityname                                                                                                                                                                                            ,activityexternalkey                                                                                                                                                                                     ,journeyactivityobjectid             ,activitytype                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
B3C398C7-275E-4786-9F9D-0229002A0626,6C5D9132-4516-42E3-B09A-E7D1FE254999,Start Activity                                                                                                                                                                                          ,136e759a-de9e-4a73-8483-fd299ea9a1db                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
B3C398C7-275E-4786-9F9D-0229002A0626,188563A0-A717-4190-AB8F-F89463B065BF,Stop                                                                                                                                                                                                    ,79ca5f5c-1659-426e-ad8a-8afe36c80a0b                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,E42E063B-9E4F-43B7-9D41-02E3D335A218,Stop                                                                                                                                                                                                    ,ee9d8f66-2265-424a-b5c7-6a517e8611b4                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,F24B2A5A-7FF4-4875-8075-1E6DD09A963D,Has SubscriberKey?                                                                                                                                                                                      ,MULTICRITERIADECISIONV2-2                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,MULTICRITERIADECISION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,96976F2D-1BA8-483E-9477-5F0EC892C47E,1 day                                                                                                                                                                                                   ,WAITBYDURATION-7                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,14D49736-092E-479E-854A-6DACF403F99F,5 minutes                                                                                                                                                                                               ,WAITBYDURATION-5                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,85E61F7A-BA46-4DF8-98E0-7794E37D0392,GOAL                                                                                                                                                                                                    ,GOAL                                                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,Event                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,12D1E698-2939-46D4-9F80-7CB86978AB47,Purchased?                                                                                                                                                                                              ,MULTICRITERIADECISIONV2-3                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,MULTICRITERIADECISION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,E5AB1C13-DCBB-4DF0-9E0A-86E0A2803AA4,triggered_MobilePush_WelcomeJourney_Touch2                                                                                                                                                              ,PUSHNOTIFICATIONACTIVITY-2                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,9F35F46E-676D-417E-95E9-9B02C544AA4C,1 minute                                                                                                                                                                                                ,WAITBYDURATION-6                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,F762B3B7-F498-422D-887B-A044EA36C5F7,triggered_MobilePush_WelcomeJourney_Touch1                                                                                                                                                              ,PUSHINBOXACTIVITY-2                                                                                                                                                                                     ,00000000-0000-0000-0000-000000000000,PUSHINBOXACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,E7AC4420-560D-41F4-B071-C92A06F6F5A2,TEST_F21_MobilePush_Audience Pato                                                                                                                                                                       ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,ContactAudience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,1EC6BA01-1AA6-4BF3-A3FC-CE983E05A1ED,Stop                                                                                                                                                                                                    ,1f8d7a2d-cfbf-44a9-983d-c680d275c6e9                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,A1897AE2-FD7D-43DF-BDA0-E10E91AD0C32,Start Activity                                                                                                                                                                                          ,6146598d-7d26-4431-a8c9-6169e1ec3be1                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,F2F96A86-E011-4518-9977-EDFA54A13F38,1 minute                                                                                                                                                                                                ,WAITBYDURATION-8                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,0407C40B-B543-4E7C-B70B-F2D010AF2FF6,Stop                                                                                                                                                                                                    ,b7acbc85-0caf-4d3c-a563-3a97b3584126                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2B0AD7CA-3F1B-40FD-A7DF-0254FD42C396,8D0106F0-BEE3-4F0C-80C6-FD85497E2B6D,1 day                                                                                                                                                                                                   ,WAITBYDURATION-9                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
4488B0F1-9D9C-46E9-973C-0318EE4034A6,3C6407DC-D35A-4A3D-9FDA-153E7FAA08EF,PROMO_20221224_PUSH_Store70OffClearance_IOS                                                                                                                                                             ,PUSHNOTIFICATIONACTIVITY-4                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
4488B0F1-9D9C-46E9-973C-0318EE4034A6,0EFA7686-6219-43B9-A5C1-184C6348D17E,PROMO_20221224_PUSH_Store70OffClearance_Android                                                                                                                                                         ,PUSHNOTIFICATIONACTIVITY-2                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
4488B0F1-9D9C-46E9-973C-0318EE4034A6,5DD198ED-3B0A-4233-8B95-18DC82EF5B35,1 minute                                                                                                                                                                                                ,WAITBYDURATION-2                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
4488B0F1-9D9C-46E9-973C-0318EE4034A6,BE9897A0-39EF-426D-8D8A-241DB43F7331,Start Activity                                                                                                                                                                                          ,088c8c46-0f9a-4e0f-b57f-ebe91fed1f50                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
4488B0F1-9D9C-46E9-973C-0318EE4034A6,0DE15129-FE47-4EA9-9842-26E2A94A4E66,Stop                                                                                                                                                                                                    ,f3c0f4c2-d2d4-4536-9845-d9f921f68d4f                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
4488B0F1-9D9C-46E9-973C-0318EE4034A6,CAA11FEB-B22C-4BB8-B972-27842C708E81,NULL                                                                                                                                                                                                    ,MULTICRITERIADECISIONV2-1                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,MULTICRITERIADECISION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
4488B0F1-9D9C-46E9-973C-0318EE4034A6,505C7BB7-4131-4049-9616-3149FD851D01,Stop                                                                                                                                                                                                    ,e65749e2-1c8b-4314-ac6c-2e58f105edc2                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
4488B0F1-9D9C-46E9-973C-0318EE4034A6,1FF71673-785C-47DB-876C-372F076182BF,F21 Mobile Push Android7 iOS9                                                                                                                                                                           ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,ContactAudience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
4488B0F1-9D9C-46E9-973C-0318EE4034A6,EEA34595-14FB-4E4C-9C5C-40AADC326BF5,PROMO_20221224_PUSH_Store70OffClearance_IOS_Rich                                                                                                                                                        ,PUSHNOTIFICATIONACTIVITY-1                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
4488B0F1-9D9C-46E9-973C-0318EE4034A6,3AE2455B-2A32-4B7E-86AC-666D1FDB962E,NULL                                                                                                                                                                                                    ,RANDOMSPLITV2-1                                                                                                                                                                                         ,00000000-0000-0000-0000-000000000000,RANDOMSPLIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
4488B0F1-9D9C-46E9-973C-0318EE4034A6,5E3B3FF6-3792-407E-B95C-702D7B0A3F2B,1 minute                                                                                                                                                                                                ,WAITBYDURATION-3                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
4488B0F1-9D9C-46E9-973C-0318EE4034A6,F4328A4B-CF97-444B-BE98-73B4B9FA052B,1 minute                                                                                                                                                                                                ,WAITBYDURATION-1                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
4488B0F1-9D9C-46E9-973C-0318EE4034A6,4DE12CEC-29EF-4BC0-AE6F-B64AFAAEDF99,Stop                                                                                                                                                                                                    ,cf6c8e88-72ee-4690-a5f4-28cc4bb998c5                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
0D08866A-E9C3-40CD-A0CB-043DCAE1BBFF,433F2CC8-38C0-4862-8BE6-072C999CC3B3,1 minute                                                                                                                                                                                                ,WAITBYDURATION-3                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0D08866A-E9C3-40CD-A0CB-043DCAE1BBFF,A457D467-D7EA-4317-B934-153278BB8513,Stop                                                                                                                                                                                                    ,a16e6c29-427e-479b-af22-7d74452b4e13                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
0D08866A-E9C3-40CD-A0CB-043DCAE1BBFF,FFB0D46E-D4EE-40F4-A224-208907789B21,PROMO_20221206_PUSH_30OffFestive_IOS                                                                                                                                                                    ,PUSHNOTIFICATIONACTIVITY-4                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
