Name                                                                                                                            ,ExternalKey                                                                                                                     ,Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,BeginDate       ,ExpirationDate  
--------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------------,----------------
Fusce                                                                                                                           ,197619B1-2EA1-3FDC-484C-4377DA4AE1A4                                                                                            ,sed, sapien. Nunc pulvinar                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      2022-11-26,      2023-10-09
imperdiet                                                                                                                       ,D95E7916-A38B-492A-9BA1-8CCD52D92E99                                                                                            ,a, facilisis non,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      2022-05-03,      2022-05-25
sed                                                                                                                             ,2F6A25CC-DE17-C78C-F966-D4BE6241E2E7                                                                                            ,magna. Ut tincidunt orci quis lectus. Nullam                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      2023-05-10,      2023-10-30
nec,                                                                                                                            ,480CD0E7-453B-2627-7234-8C9C24D336E1                                                                                            ,Etiam ligula tortor, dictum eu, placerat                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      2023-09-30,      2023-10-19
quis,                                                                                                                           ,9BD9BA52-5470-08BE-4759-63A4B5A29CE7                                                                                            ,ac, eleifend vitae, erat. Vivamus                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      2022-06-24,      2023-06-21
dignissim                                                                                                                       ,AE051B69-F0C3-4D90-B06A-F527E786E7C0                                                                                            ,id nunc interdum feugiat. Sed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      2022-07-28,      2023-07-24
lectus                                                                                                                          ,B89E9490-467D-81C7-E586-E299AD347DD1                                                                                            ,Nullam scelerisque neque sed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      2023-03-26,      2023-07-05
ipsum.                                                                                                                          ,33806A44-029D-5C99-9567-76ED67C973BE                                                                                            ,adipiscing non,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      2022-05-31,      2022-03-15
congue                                                                                                                          ,5C621FA3-B48D-A8C7-DF43-48A5D5DC2C13                                                                                            ,sit amet orci. Ut sagittis lobortis mauris. Suspendisse aliquet molestie                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      2022-12-12,      2022-09-18
egestas.                                                                                                                        ,62368C3A-E443-6B0A-B82B-2F0753BDB06D                                                                                            ,turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      2023-12-10,      2022-10-28
lorem,                                                                                                                          ,2894C752-0A55-BE96-EB88-8F3E37719061                                                                                            ,vulputate, nisi sem semper erat, in consectetuer ipsum                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      2022-03-01,      2022-11-27
Vestibulum                                                                                                                      ,21AB9E75-7609-7885-7846-7D3C53B25AE4                                                                                            ,sed dolor. Fusce mi lorem, vehicula et,                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      2024-02-10,      2023-08-02
urna                                                                                                                            ,1B550B96-7A64-6FBA-CE18-A2E45D1D237D                                                                                            ,purus. Nullam scelerisque neque sed sem egestas blandit. Nam                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      2023-07-21,      2023-04-19
conubia                                                                                                                         ,3B233282-6251-CA78-5E6A-AD2C516EA448                                                                                            ,tristique aliquet. Phasellus fermentum convallis ligula.                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      2023-07-20,      2022-11-04
id                                                                                                                              ,16931543-68A9-6536-73F8-736B1AB79036                                                                                            ,sed dui. Fusce aliquam, enim nec                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      2023-08-09,      2024-02-12
luctus                                                                                                                          ,09C6D145-FF5D-0EAB-E474-F157E233852F                                                                                            ,tempus risus. Donec                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      2023-10-26,      2024-01-11
Duis                                                                                                                            ,D124DD02-9291-B966-AD53-1CAA2D1A46C6                                                                                            ,tortor, dictum eu, placerat eget,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      2022-06-28,      2023-05-30
ultrices,                                                                                                                       ,864E6C31-AC96-AAB4-5B9E-6557266642B4                                                                                            ,odio a purus. Duis elementum, dui quis accumsan convallis, ante                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      2022-03-18,      2022-12-30
Etiam                                                                                                                           ,DBF4C966-2580-C77B-3689-E13EE33E4866                                                                                            ,luctus, ipsum                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      2022-11-18,      2023-04-12
consequat                                                                                                                       ,BB6049D3-5435-2347-F87A-4AF6397A3D98                                                                                            ,nec ligula consectetuer rhoncus. Nullam velit dui,                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      2023-02-24,      2023-11-17
sem                                                                                                                             ,BBF52D63-9467-C51B-1CBF-161E8776D552                                                                                            ,laoreet ipsum.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      2022-07-05,      2022-04-28
mi                                                                                                                              ,1767C619-539B-EEDE-399E-BED45D88A52B                                                                                            ,commodo ipsum. Suspendisse non                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      2023-12-31,      2023-12-13
dui.                                                                                                                            ,B724686C-93B2-206E-2124-93A4E8459633                                                                                            ,adipiscing. Mauris molestie pharetra nibh. Aliquam ornare,                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      2023-03-15,      2024-02-03
Etiam                                                                                                                           ,A56CB7D7-8755-D0AE-45AE-7567FC71864B                                                                                            ,auctor odio a purus. Duis elementum,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      2023-02-25,      2022-04-14
feugiat                                                                                                                         ,9A394B44-572E-67C1-4789-67B26CA91253                                                                                            ,arcu.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,      2022-03-03,      2023-09-03
iaculis                                                                                                                         ,12598A38-AD24-6373-747F-8977656C6024                                                                                            ,elementum purus, accumsan interdum                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      2023-03-16,      2022-03-22
odio                                                                                                                            ,22173EFD-D2DC-3102-94C7-CC2CE3213189                                                                                            ,dapibus rutrum, justo. Praesent luctus. Curabitur egestas                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,      2022-09-29,      2023-08-07
purus,                                                                                                                          ,1169ED49-6D79-D47F-407D-A74F6AB4CCFD                                                                                            ,ut ipsum ac mi eleifend egestas. Sed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      2024-01-18,      2023-10-23
arcu.                                                                                                                           ,1BC9CC82-5D98-BE96-AD83-0076696332CB                                                                                            ,at fringilla purus mauris a nunc. In at pede.                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      2023-01-28,      2022-04-21
Nunc                                                                                                                            ,5190B3D7-27F9-478D-2428-2F36D5723D63                                                                                            ,erat. Vivamus nisi. Mauris nulla. Integer urna.                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      2022-05-18,      2023-10-13
tellus                                                                                                                          ,4DA38E6C-E38B-0C59-B617-754728879DE7                                                                                            ,ante dictum mi, ac mattis velit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      2023-06-28,      2022-07-13
augue,                                                                                                                          ,13292471-AD3C-F6C5-3BD2-6BE2DAA351EA                                                                                            ,scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris eu                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      2023-04-19,      2023-12-24
elementum                                                                                                                       ,75DF783D-1B9F-CB6D-D97D-C5C4E964C7C6                                                                                            ,a nunc. In at pede. Cras vulputate velit                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      2023-04-22,      2022-07-20
amet                                                                                                                            ,8DAD2D23-47B9-ED75-136A-B7551DF8938D                                                                                            ,nisl. Quisque fringilla euismod                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      2022-08-02,      2023-09-12
elit,                                                                                                                           ,9CEE5175-BB84-3EBF-2C25-3BBEC315D778                                                                                            ,est, mollis non, cursus                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      2022-11-03,      2022-09-07
eget,                                                                                                                           ,C99A7D5B-782D-F64B-9027-74EB648CE61C                                                                                            ,sociis natoque penatibus et magnis dis                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      2022-04-20,      2022-09-28
velit                                                                                                                           ,7B6F7AE3-19E6-A50A-61E5-275D161E88CB                                                                                            ,quis diam. Pellentesque                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      2023-10-02,      2023-04-12
lacus                                                                                                                           ,83283941-CB05-2CC7-E2C0-559183D3BADB                                                                                            ,in sodales elit erat vitae                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      2022-09-06,      2024-01-10
justo                                                                                                                           ,FB0B15FA-12D7-2AC6-2129-AC4D196C66A3                                                                                            ,Mauris ut quam vel sapien imperdiet ornare. In                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      2023-04-15,      2023-08-01
Nunc                                                                                                                            ,7636236E-9347-64D5-3961-0E4EE171AC8C                                                                                            ,enim, gravida sit amet, dapibus                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      2023-12-28,      2023-07-01
risus,                                                                                                                          ,B4A0C27D-6DE3-7C7E-5D26-452BBC47487C                                                                                            ,lectus pede et risus. Quisque libero lacus,                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      2023-01-03,      2023-10-14
Morbi                                                                                                                           ,5C21DA59-E049-AE49-7C04-BBD1B074AB58                                                                                            ,Nulla eget metus eu erat semper rutrum.                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      2022-11-05,      2023-01-06
vel,                                                                                                                            ,2F504FC7-31B8-CCB1-9F88-A6ED69A1B85B                                                                                            ,augue ac ipsum. Phasellus vitae                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      2022-11-07,      2023-08-18
lacinia.                                                                                                                        ,AAED64E1-67B7-553D-9C15-64A8BDE7B451                                                                                            ,mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      2022-12-28,      2022-06-19
interdum                                                                                                                        ,27F3C7B2-E711-B7F3-A831-D02861C3F691                                                                                            ,eu, odio. Phasellus                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      2022-11-06,      2022-03-11
eget                                                                                                                            ,14DE9CAF-22E1-5B98-3B71-32093C249852                                                                                            ,ipsum primis in faucibus orci luctus et ultrices posuere                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      2023-05-26,      2022-05-24
Phasellus                                                                                                                       ,D55E17A8-622A-A64E-B742-4362548DFE7F                                                                                            ,luctus, ipsum leo elementum sem,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      2023-01-19,      2023-03-17
Ut                                                                                                                              ,BEB22278-53C7-8A68-4F57-3F35FC52C385                                                                                            ,Vivamus rhoncus. Donec est. Nunc ullamcorper, velit in aliquet                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      2023-11-28,      2023-03-31
vulputate,                                                                                                                      ,1A84C1C2-9EB8-587E-68EB-D523961763D1                                                                                            ,at auctor ullamcorper, nisl arcu iaculis enim, sit amet                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      2022-05-05,      2022-07-09
rhoncus                                                                                                                         ,E4155266-8D23-1A96-9A1B-16FDB5682629                                                                                            ,lacus vestibulum lorem, sit amet ultricies sem                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      2023-11-13,      2022-10-15
consequat,                                                                                                                      ,D749723F-41AC-151C-DEF4-5361933958E7                                                                                            ,tincidunt dui augue eu tellus. Phasellus elit pede,                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      2023-09-24,      2022-11-29
odio.                                                                                                                           ,BCE1C8C7-BD31-752E-4370-451AFCA62918                                                                                            ,quis, tristique ac, eleifend vitae, erat. Vivamus                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      2023-10-30,      2022-08-25
mauris                                                                                                                          ,4F8B88B1-673D-CD46-7E3B-7F7FD3B16D34                                                                                            ,tempor diam dictum sapien. Aenean massa. Integer vitae nibh.                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      2023-01-17,      2022-03-08
sit                                                                                                                             ,8BA2BE7A-E048-AA4B-1E66-408CC6E38763                                                                                            ,semper cursus. Integer mollis. Integer tincidunt aliquam                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      2022-06-30,      2023-11-21
natoque                                                                                                                         ,66EDA385-6CCA-E880-A53A-3EB768EAB0E4                                                                                            ,vitae, posuere at, velit. Cras lorem lorem, luctus ut, pellentesque                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      2023-02-04,      2024-02-06
lectus                                                                                                                          ,61972067-DA23-7CC3-542D-8AEF77C1C46A                                                                                            ,scelerisque neque sed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,      2023-02-14,      2022-12-02
sagittis                                                                                                                        ,2B7C5B32-4417-1A9F-74C2-195E3BB57AB8                                                                                            ,tincidunt adipiscing. Mauris molestie pharetra nibh.                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      2022-05-12,      2023-06-24
viverra.                                                                                                                        ,9CB0DD79-CAD1-4491-8AB8-AEAA6EE97E65                                                                                            ,Cum sociis natoque                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      2023-10-03,      2023-01-11
scelerisque                                                                                                                     ,C4B734DE-B416-4D1C-96B6-496ECEEA34BE                                                                                            ,et, rutrum eu, ultrices sit amet,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      2022-07-13,      2022-04-11
justo.                                                                                                                          ,2D7BB7EA-B4C7-FB81-824A-20239A514326                                                                                            ,magna. Cras convallis                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,      2022-04-13,      2024-01-10
ipsum                                                                                                                           ,DED8E821-12A6-7698-9698-ACC1B9BE6E2A                                                                                            ,fermentum convallis                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      2023-10-06,      2023-06-01
et                                                                                                                              ,CE9D5515-C290-6B3C-0863-F2C376065EA5                                                                                            ,dictum eu, eleifend                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      2023-09-04,      2023-07-14
adipiscing                                                                                                                      ,A3837083-44ED-4A11-474B-9668823B8DC4                                                                                            ,Aenean                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      2022-07-25,      2022-07-25
a                                                                                                                               ,5BB7190A-917E-A761-3195-382CF495FA24                                                                                            ,purus. Nullam                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      2023-05-06,      2022-11-22
pharetra                                                                                                                        ,57D8B33E-5C26-5BCA-277B-F73BCE8DC698                                                                                            ,velit in aliquet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      2022-07-01,      2023-01-04
convallis                                                                                                                       ,449E36EA-4DB8-5CD7-B5E3-2781662D4D39                                                                                            ,suscipit nonummy. Fusce fermentum fermentum arcu. Vestibulum                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      2022-06-22,      2022-07-16

(101 rows affected)
